NOMBRE_ESTABLECIMIENTO,ROL_ESTABLECIMIENTO
LICEO POLITECNICO ARICA,1
ESC. PEDRO VICENTE GUTIERREZ TORRES,3
LICEO OCTAVIO PALMA PEREZ,4
JOVINA NARANJO FERNANDEZ,5
L. POLI. ANTONIO VARAS DE LA BARRA,7
COL. INTEG. EDUARDO FREI MONTALBA,8
ESCUELA REPUBLICA DE ISRAEL,9
ESCUELA REPUBLICA DE FRANCIA,10
ESC. GRAL. PEDRO LAGOS MARCHANT,11
ESCUELA GRAL JOSE MIGUEL CARRERA,12
ESCUELA MANUEL RODRIGUEZ ERDOYZA,13
ESCUELA ROMULO J. PENA MATURANA,14
LICEO ARTISTICO DR. JUAN NOE CREVANI,15
ESCUELA REGIMIENTO RANCAGUA,16
ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,17
ESC. COMTE. JUAN JOSE SAN MARTIN,18
ESC. HUMBERTO VALENZUELA GARCIA,19
ESCUELA TUCAPEL,20
ESCUELA LINCOYAN,21
ESCUELA GABRIELA MISTRAL,22
ESCUELA CENTENARIO,25
ESCUELA REPUBLICA DE ARGENTINA,26
ESCUELA ESMERALDA,27
ESCUELA RICARDO SILVA ARRIAGADA,28
ESCUELA AMERICA,29
ESCUELA DARIO SALAS DIAZ,31
LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,32
ESCUELA CARLOS CONDELL DE LA HAZA,33
ESCUELA GRAL. MANUEL BAQUEDANO,35
ESCUELA IGNACIO CARRERA PINTO,36
ESCUELA ESPANA,38
ESCUELA PAMPA ALGODONAL,39
ESCUELA VALLE DE CHACA,41
ESCUELA MOLINOS LLUTA,42
COLEGIO ITALIANO SANTA ANA,45
COLEGIO ADVENTISTA DE ARICA,50
ESCUELA PARTICULAR REPÃBLICA DEL ECUADOR,51
LICEO DOMINGO SANTA MARIA,52
COLEGIO SAN MARCOS DE ARICA,56
COLEGIO SAN JORGE,59
COLEGIO ALEMAN DE ARICA,60
ABRAHAM LINCOLN SCHOOL,67
JUNIOR COLLEGE,69
ESCUELA VALLE DE ESQUINA,70
LICEO  VALLE DE CODPA,72
ESCUELA VALLE DE COBIJA,73
ESCUELA VALLE DE CAMARONES,74
ESCUELA VALLE DE GUANACAGUA,75
ESCUELA VALLE DE CUYA,76
LICEO GRANADEROS,78
ESCUELA EL MARQUEZ,79
ESCUELA PAYACHATAS,81
ESCUELA SAN FRANCISCO DE ASIS,82
ESCUELA COTA COTANI,83
ESCUELA LOS ALAMOS,84
ESCUELA SAN SANTIAGO DE BELEN,86
ESCUELA ANCOLACANE,87
ESCUELA ALCERRECA,88
ESCUELA HUMAPALCA,89
ESCUELA INTERNADO VISVIRI,90
ESCUELA COSAPILLA,91
ESCUELA CHISLLUMA,92
ESCUELA CHUJLLUTA,93
ESCUELA GUACOYO,94
ESCUELA COLPITAS,95
INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,97
ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,103
INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,106
LICEO LIBERT. GRAL.BERNARDO O'HIGGINS,107
LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,108
LICEO ELENA DUVAUCHELLE CABEZON,109
ESCUELA DOMINGO SANTA MARIA,110
ESCUELA GABRIELA MISTRAL,111
ESCUELA EDUARDO LLANOS,112
ESCUELA ALMIRANTE PATRICIO LYNCH,113
ESCUELA PLACIDO VILLARROEL,114
ESCUELA JAVIERA CARRERA VERDUGO,115
COLEGIO REPUBLICA DE CROACIA,116
ESCUELA PAULA JARAQUEMADA ALQUIZAR,117
ESCUELA CENTENARIO,119
LICEO COM.Y TEC.ARTURO PRAT CHACON,120
ESCUELA THILDA PORTILLO OLIVARES,122
COLEGIO ESPANA,123
LICEO LUIS CRUZ MARTINEZ,124
ESCUELA PROFESOR MANUEL CASTRO RAMOS,125
COLEGIO REPUBLICA DE ITALIA,126
LICEO MARIA AUXILIADORA,127
LICEO SUPERIOR GABRIELA MISTRAL,129
COLEGIO NORTH COLLEGE,130
LICEO PARTICULAR MIXTO ESCASCE,131
LICEO ACADEMIA IQUIQUE,132
COLEGIO ADVENTISTA DE IQUIQUE,133
LICEO ATENEA,134
COLEGIO IQUIQUE YOUNG SCHOOL,144
ESCUELA BASICA FRONTERIZA,154
ESCUELA PISAGUA,156
ESCUELA CHIAPA,158
ESCUELA JAINA,159
ESCUELA PACHICA,160
LICEO DE HUARA,161
ESCUELA SIBAYA,162
ESCUELA CHUSMIZA,165
ESCUELA CAMINA,167
ESCUELA CUISAMA,168
ESCUELA QUISTAGAMA,169
ESCUELA NAMA,170
ESCUELA APAMILCA,171
ESCUELA CHAPIQUILTA,172
ESCUELA MOQUELLA,173
ESCUELA FRANCIA,174
ESCUELA YALA YALA,175
ESCUELA BASICA CARIQUIMA,177
LICEO TECNICO PROFESIONAL COLCHANE,178
ESCUELA BASICA MAUQUE,179
ESCUELA BASICA PISIGA-CHOQUE,185
ESCUELA BASICA ENQUELGA,186
ESCUELA VERTIENTE DEL SABER,187
ESC. MATILLA DE NUEVA EXTREMADURA,188
LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,191
ESCUELA BASICA MAMINA,192
ESCUELA BASICA POZO ALMONTE,193
ESCUELA BASICA LA TIRANA,195
ESCUELA BASICA HUATACONDO,196
ESCUELA BASICA LA HUAYCA,198
LICEO DOMINGO LATRILLE LASTAUNOU,199
LICEO POLITECNICO DIEGO PORTALES P.,200
ESCUELA CARLOS CONDELL DE LA HAZA,201
ESCUELA PABLO NERUDA,203
ESCUELA L.GRAL.BERNARDO O'HIGGINS R.,204
ESCUELA ARTURO PRAT CHACON,205
ESCUELA ESTADOS UNIDOS DE NORTEAMERICA,206
COLEGIO SAGRADA FAMILIA,208
ESCUELA ARTURO PEREZ CANTO,210
LICEO  H.C. T.P.  MARIA ELENA,211
ESCUELA IGNACIO CARRERA PINTO,214
LICEO LUIS CRUZ MARTINEZ,217
LICEO FRANCISCO DE AGUIRRE,218
LICEO POLITECNICO CESAREO AGUIRRE G.,219
LICEO AMERICA,220
CENTRO EDUC.INTEGRAL DE ADULTOS C.E.I.A,222
ESCUELA CLAUDIO ARRAU,223
ESCUELA GRECIA,224
ESCUELA REPUBLICA DE BOLIVIA,225
ESCUELA BASICA EMILIO SOTOMAYOR,226
ESCUELA BASICA PRESIDENTE BALMACEDA,227
ESCUELA BASICA VADO DE TOPATER,228
ESCUELA REPUBLICA DE CHILE,229
ESCUELA BASICA ANDRES BELLO,230
ESCUELA BASICA JOHN FITZGERALD KENNEDY,231
ESCUELA BASICA PEDRO VERGARA KELLER,232
ESCUELA REPUBLICA DE ECUADOR,234
ESCUELA BASICA 21 DE MAYO,239
ESCUELA BASICA REPUBLICA DE FRANCIA,240
ESCUELA BASICA PUKARA,243
ESCUELA BASICA SENORA DE LA CANDELARIA,246
ESCUELA BASICA SAN JOSE,248
ESCUELA BASICA SAN ANDRES,249
ESCUELA BASICA SAN FRANCISCO,252
COLEGIO ADVENTISTA DE CALAMA,253
FUNDACION EDUC.COLEGIO NUESTRA SRA.DE AYQUINA,254
COLEGIO  EJERCITO DE SALVACION,255
INSTITUTO OBISPO SILVA LEZAETA,256
COLEGIO CHUQUICAMATA,257
ESC. BASICA RURAL SAN ANTONIO DE PADUA,268
ESCUELA BASICA SAN PEDRO DE ATACAMA,269
ESCUELA BASICA TOCONAO,270
ESCUELA BASICA CAMAR,271
ESCUELA BASICA SOLOR,273
ESCUELA BASICA SAN ROQUE,274
ESCUELA BASICA ANDINA,275
ESCUELA BASICA TALABRE,276
ESCUELA BASICA SAN BARTOLOME,277
LICEO INDUSTRIAL EULOGIO GORDO MONEO,279
LICEO COMERCIAL JERARDO MUNOZ CAMPO,280
LICEO A. RENDIC I. ANEXO C. REHABILIT. SOCIAL,282
LICEO TECNICO DE ANTOFAGASTA,283
LICEO MARIO BAHAMONDE SILVA,284
LICEO MARTA NAREA DIAZ,285
LICEO LA PORTADA,286
LICEO DOMINGO HERRERA RIVERA,287
ESCUELA JAPON,288
ESCUELA ESPANA,289
ESCUELA PADRE GUSTAVO LE PAIGE WALQUE,291
ESCUELA REPUBLICA DE ITALIA,292
ESCUELA JOSE PAPIC RADNIC,293
ESCUELA PROFESORA LJUBICA DOMIC WUTH,294
ESCUELA REPUBLICA DE LOS ESTADOS UNIDOS,296
ESCUELA ALCALDE MAXIMILIANO POBLETE,297
ESCUELA DARIO SALAS DIAZ,298
ESCUELA ROMULO J. PENA MATURANA,301
ESCUELA JUAN LOPEZ,302
ESCUELA REPUBLICA ARGENTINA,303
LICEO ANDRES SABELLA,304
ESCUELA GONZALEZ ECHEGOYEN,305
ESCUELA HUANCHACA,306
ESCUELA CLAUDIO MATTE PEREZ,310
ESCUELA ECUADOR,312
ESCUELA ARTURO PRAT,313
ESCUELA HEROES DE LA CONCEPCION,315
ESCUELA LAS AMERICAS,316
ESCUELA LAS ROCAS,317
ESCUELA EDDA CUNEO DONNAGIO,318
ESCUELA LA BANDERA,319
ESCUELA ARMANDO CARRERA GONZALEZ,320
ESCUELA GENERAL MANUEL BAQUEDANO,322
ESCUELA FUNDACION MINERA ESCONDIDA,324
ESCUELA SANTIAGO AMENGUAL B.,326
ESCUELA LIBERTADORES DE CHILE,329
ESCUELA GABRIELA MISTRAL,332
COLEGIO EVANGELICO JOSE LANCASTER,335
LICEO EXPERIMENTAL ARTISTICO-APLICACION,336
ESCUELA PARTICULAR SANTA TERESITA,337
ESCUELA PARTICULAR ADVENTISTA,341
COLEGIO INGLES SAN JOSE,342
ESCUELA PRESBITERIANA,343
COLEGIO SANTA EMILIA,344
ESCUELA PARTICULAR LIDIA MORENO,350
"COL. KID""S SCHOOL",354
INS. CHILENO NORTEAMERICANO CULTURA,355
ESCUELA PARTICULAR CORAZON DE MARIA,356
COL. SAN LUIS,357
INS. SANTA MARIA,358
COL. THE ANTOFAGASTA BRITISH SCHOOL,361
COL. ANTOFAGASTA,364
COLEGIO EAGLE SCHOOL,365
HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA),366
COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENT,367
ESCUELA BASICA JULIA HERRERA VARAS,368
ESCUELA LUCILA GODOY ALCAYAGA,369
ESCUELA ESTACION BAQUEDANO,370
ESCUELA CARACOLES,371
LICEO POLITECNICO JOSE MIGUEL QUIROZ,372
LICEO JUAN CORTES-MONROY CORTES,373
ESCUELA HOGAR VICTORIANO QUINTEROS SOTO,374
ESCUELA VICTOR CARVAJAL MEZA,375
ESCUELA PARANAL,377
LICEO FEDERICO VARELA,379
ESCUELA BASICA DIEGO PORTALES PALAZUELOS,380
ESCUELA BASICA PEDRO LUJAN,381
ESCUELA BASICA GASPAR CABRALES,382
LICEO MANUEL MAGALHAES MEDLING,384
