NOMBRE_ESTABLECIMIENTO,ROL_ESTABLECIMIENTO
LICEO POLITECNICO ARICA,1
ESCUELA PEDRO VICENTE GUTIERREZ TORRES,3
LICEO OCTAVIO PALMA PEREZ,4
LICEO JOVINA NARANJO FERNANDEZ,5
LICEO POLITEC. ANTONIO VARAS DE LA BARRA,7
COLEGIO INT. EDUARDO FREI MONTALVA,8
ESCUELA REPUBLICA DE ISRAEL,9
ESCUELA  REPUBLICA DE FRANCIA,10
ESCUELA GRAL. PEDRO LAGOS MARCHANT,11
ESCUELA GRAL. JOSE MIGUEL CARRERA,12
ESCUELA  MANUEL RODRIGUEZ ERDOYZA,13
ESCUELA ROMULO J. PEÃA MATURANA,14
LICEO ARTISTICO DR.  JUAN NOE CREVANI,15
ESCUELA REGIMIENTO RANCAGUA,16
ESCUELA  SUBTTE. LUIS CRUZ MARTINEZ,17
ESCUELA CDMTE. JUAN JOSE SAN MARTIN,18
ESCUELA  HUMBERTO VALENZUELA GARCIA,19
ESCUELA  TUCAPEL,20
ESCUELA  LINCOYAN,21
ESCUELA GABRIELA MISTRAL,22
ESCUELA  CENTENARIO,25
ESCUELA  REPUBLICA ARGENTINA,26
ESCUELA  ESMERALDA,27
ESCUELA  RICARDO SILVA ARRIAGADA,28
ESCUELA AMERICA,29
ESCUELA  DARIO SALAS DIAZ,31
LICEO AGRICOLA JOSE ABELARDO NUÃEZ M.,32
ESCUELA CARLOS CONDELL DE LA HAZA,33
ESCUELA GRAL. MANUEL BAQUEDANO,35
ESCUELA  IGNACIO CARRERA PINTO,36
ESCUELA ESPAÃA,38
ESCUELA  PAMPA ALGODONAL,39
ESCUELA VALLE DE CHACA,41
ESCUELA  MOLINOS LLUTA,42
COLEGIO ITALIANO SANTA ANA,45
COLEGIO ADVENTISTA,50
ESCUELA PARTICULAR REPUBLICA DEL ECUADOR,51
LICEO DOMINGO SANTA MARIA,52
COLEGIO SAN MARCOS,56
COLEGIO SAN JORGE,59
COLEGIO ALEMAN,60
 ABRAHAM LINCOLN  SCHOOL,67
JUNIOR COLLEGE,69
ESCUELA  VALLE DE ESQUIÃA,70
LICEO  VALLE DE CODPA,72
ESCUELA  VALLE DE COBIJA,73
ESCUELA  VALLE DE CAMARONES,74
ESCUELA VALLE DE GUAÃACAGUA.,75
ESCUELA  VALLE DE CUYA,76
LICEO  GRANADEROS,78
ESCUELA  EL MARQUEZ,79
ESCUELA  PAYACHATAS,81
ESCUELA SAN FRANCISCO DE ASIS,82
ESCUELA  COTA COTANI,83
ESCUELA   LOS ALAMOS,84
